id left_bmp bottom_bmp width height
1 8 140 532 5
2 579 141 28 6
3 644 141 27 6
4 708 141 28 7
5 773 141 28 7
6 805 111 27 7
7 836 76 123 6
8 1027 140 60 6
9 1123 141 281 6
10 1283 77 91 6
11 1220 76 27 6
12 1412 109 28 7
13 1443 75 28 6
14 1478 45 57 6
15 1603 139 12 6
16 1667 141 13 6
17 1731 140 14 7
18 1797 142 250 7
600 163 135 145 7
601 1222 135 145 6
500 236 135 210 15
501 235 135 211 15
502 235 135 213 15
503 235 134 213 14
800 576 131 175 99
801 575 131 176 99
602 847 70 111 7
603 847 70 112 7
200 814 103 9 6
802 970 131 160 103
201 1228 69 11 7
504 1284 71 90 14
505 1450 69 14 17
506 1479 39 54 17
803 1554 125 197 89
804 1573 124 195 100
805 1866 127 154 98
507 1835 136 127 16
508 1909 136 132 16
1000 332 85 21 21
1001 419 86 19 19
1002 574 90 19 20
1003 628 72 19 19
1004 760 55 15 16
1005 885 23 16 15
1006 1145 87 18 18
1007 1176 29 19 18
1008 1315 26 19 19
1009 1658 87 18 18
1010 1846 87 19 17
1200 4 135 5 59
1300 2042 135 5 60
1400 544 173 583 5
1401 1410 173 386 6
